Rating,Price
7.024750511,770973.8456
3.114413892,380660.4205
2.298959319,153889.584
8.552507096,781075.4723
4.869838557,397781.3044
6.186712241,636301.767
9.91912595,904474.0135
5.201574755,599581.8964
6.336863308,663707.3885
7.717825861,678038.8806
7.00369274,649156.1632
0.49775689,8883.938108
6.051210059,506726.2795
6.003601184,612356.9445
7.144993439,706854.4572
3.22092349,283623.7678
4.006775109,489416.1809
7.062898648,712628.5592
9.284951323,974129.4595
0.553910947,37614.06293
1.627857295,179537.3394
2.703634754,327491.0733
4.762108219,449803.1556
3.192541276,322370.0674
7.691274758,771791.7417
9.001129185,865050.2029
3.129062777,332386.2423
4.145023957,473918.8818
3.177892392,263823.3589
7.998596149,715466.7806
8.300729392,902478.103
6.535538804,697589.0378
9.110080264,898364.2079
0.442213202,25864.43678
1.596118046,202774.1325
0.7248146,77660.45106
6.44062624,584395.8861
2.365489669,228403.5768
3.241981262,328669.0878
